Model,Training_Accuracy %,Testing_Accuracy %,Number_Features,Threshold_FeatureImportance
Logistic Regression,0.8553719008264463,0.8360655737704918,21,0
Random Forest,0.8884297520661157,0.8688524590163934,21,0
Support Vector Machine,0.8677685950413223,0.8688524590163934,21,0
Logistic Regression,0.8553719008264463,0.8360655737704918,15,0.019
Random Forest,0.8471074380165289,0.819672131147541,15,0.019
Support Vector Machine,0.9173553719008265,0.8524590163934426,15,0.019
Logistic Regression,0.859504132231405,0.8524590163934426,12,0.03
Random Forest,0.8884297520661157,0.8360655737704918,12,0.03
Support Vector Machine,0.9214876033057852,0.8852459016393442,12,0.03
Logistic Regression,0.8512396694214877,0.819672131147541,10,0.04
Random Forest,0.8677685950413223,0.819672131147541,10,0.04
Support Vector Machine,0.9586776859504132,0.8688524590163934,10,0.04
